ESTAÇÃO	CONSTANTE	            H	          GR	REFERENCIADA
30149      2N2                 6.46         201.39       S
30149      2NS2                0.96         357.24       S
30149      2SM2                2.88         42.50        S
30149      2SM6                0.88         346.50       S
30149      3M2S2               1.92         106.03       S
30149      3MN4                1.18         351.36       S
30149      3MN8                0.51         288.08       S
30149      3MS4                1.33         290.92       S
30149      3MS8                0.87         340.16       S
30149      3MSN6               0.55         125.08       S
30149      4MN6                0.50         45.73        S
30149      K1                  10.05        240.96       S
30149      K2                  16.23        230.38       S
30149      L2                  14.52        198.91       S
30149      LAMBD2              5.59         178.94       S
30149      M1                  1.01         242.86       S
30149      M2                  209.60       199.50       S
30149      M3                  1.93         309.54       S
30149      M4                  5.01         187.87       S
30149      M6                  3.41         284.92       S
30149      M8                  0.74         304.87       S
30149      MF                  2.00         346.08       S
30149      MK3                 0.77         13.55        S
30149      MKS2                1.12         346.73       S
30149      MN4                 1.53         175.61       S
30149      MNK2S2              0.89         200.68       S
30149      MNS2                2.95         271.17       S
30149      MO3                 1.36         319.96       S
30149      MP1                 0.51         311.23       S
30149      MS4                 2.36         253.82       S
30149      MSF                 1.44         216.60       S
30149      MSN2                2.61         24.54        S
30149      MSN6                0.93         315.31       S
30149      MST2                1.89         82.60        S
30149      MTS2                3.04         74.01        S
30149      MU2                 9.63         288.78       S
30149      N2                  38.88        186.61       S
30149      N4                  0.54         188.34       S
30149      NO3                 0.53         301.44       S
30149      NU2                 10.50        174.90       S
30149      O1                  9.17         212.66       S
30149      OP2                 1.87         275.52       S
30149      OQ2                 1.56         99.34        S
30149      P1                  3.01         242.05       S
30149      Q1                  1.64         191.98       S
30149      R2                  0.78         299.00       S
30149      S1                  1.31         171.59       S
30149      S2                  57.96        234.92       S
30149      S4                  0.51         1.84         S
30149      SA                  2.81         133.83       S
30149      SIGMA1              0.68         240.57       S
30149      SK3                 0.78         345.34       S
30149      SL4                 0.58         222.50       S
30149      SN4                 0.70         303.49       S
30149      SO3                 0.63         32.52        S
30149      SSA                 2.35         50.28        S
30149      T2                  4.11         220.58       S
30225      2MK6                0.17         122.68       S
30225      2MN6                0.53         118.19       S
30225      2MS6                0.63         147.40       S
30225      2MSK4               0.24         173.41       S
30225      2MSN8               0.14         149.76       S
30225      2MST4               0.29         27.98        S
30225      2MTS4               0.25         57.79        S
30225      2N2                 3.08         115.62       S
30225      3MN4                0.33         198.06       S
30225      3MS4                0.30         151.43       S
30225      3MS8                0.17         198.63       S
30225      4MN10               0.16         116.65       S
30225      4MS10               0.16         187.46       S
30225      J1                  0.58         185.70       S
30225      K1                  9.13         216.57       S
30225      K2                  9.84         155.89       S
30225      L2                  2.93         139.63       S
30225      LAMBD2              1.07         159.49       S
30225      M1                  0.71         191.19       S
30225      M10                 0.17         160.42       S
30225      M2                  105.64       139.33       S
30225      M3                  1.52         170.23       S
30225      M4                  1.14         125.98       S
30225      M6                  0.86         125.68       S
30225      MK3                 0.54         202.84       S
30225      MK4                 0.51         167.97       S
30225      MKS2                0.77         82.23        S
30225      MNK5                0.23         343.31       S
30225      MNS2                0.96         76.99        S
30225      MS4                 2.12         148.64       S
30225      MSK5                0.22         130.15       S
30225      MSK6                0.17         161.94       S
30225      MST2                0.97         186.90       S
30225      MTS2                1.21         19.69        S
30225      MU2                 5.10         105.66       S
30225      N2                  22.23        124.29       S
30225      NU2                 4.10         119.10       S
30225      O1                  7.83         192.44       S
30225      OP2                 1.01         220.33       S
30225      OQ2                 0.60         314.73       S
30225      P1                  2.51         232.36       S
30225      Q1                  1.27         176.12       S
30225      RO1                 0.68         183.45       S
30225      S1                  1.53         93.17        S
30225      S2                  34.41        159.07       S
30225      S4                  0.33         315.44       S
30225      S5                  0.21         102.72       S
30225      SA                  5.91         177.36       S
30225      SK3                 0.54         167.70       S
30225      SN4                 0.30         127.50       S
30225      T2                  2.16         148.01       S
30337      2N2                 2.64         107.39       S
30337      K1                  8.05         205.62       S
30337      K2                  8.01         152.92       S
30337      LAMBD2              0.63         141.77       S
30337      M2                  90.15        133.38       S
30337      MU2                 5.72         130.50       S
30337      N2                  19.97        120.38       S
30337      NU2                 3.79         122.13       S
30337      O1                  6.67         174.62       S
30337      P1                  2.66         203.30       S
30337      S2                  29.45        151.46       S
30337      T2                  1.74         150.74       S
30340      2N2                 2.95         124.28       S
30340      K1                  7.71         230.60       S
30340      K2                  8.55         153.22       S
30340      L2                  5.51         114.96       S
30340      LAMBD2              0.67         141.51       S
30340      M1                  1.74         207.86       S
30340      M2                  95.41        132.70       S
30340      MK3                 2.21         5.96         S
30340      MU2                 2.58         88.22        S
30340      N2                  22.35        128.49       S
30340      NU2                 4.25         129.06       S
30340      O1                  7.40         160.37       S
30340      OO1                 2.31         148.92       S
30340      P1                  2.55         225.33       S
30340      Q1                  2.05         109.04       S
30340      S2                  31.42        151.68       S
30340      T2                  1.85         150.92       S
30407      2MN6                0.60         341.90       S
30407      2MS6                1.00         17.90        S
30407      2N2                 3.20         96.60        S
30407      2Q1                 0.20         174.80       S
30407      2SM2                6.80         37.40        S
30407      2SM6                1.60         16.80        S
30407      FI1                 0.10         214.20       S
30407      J1                  1.60         215.60       S
30407      K1                  6.90         214.20       S
30407      K2                  10.70        149.50       S
30407      L2                  3.30         151.70       S
30407      M1                  0.30         174.10       S
30407      M2                  112.80       127.40       S
30407      M3                  1.00         155.80       S
30407      M4                  0.50         67.60        S
30407      M6                  0.90         12.70        S
30407      MK3                 1.00         102.10       S
30407      MM                  1.60         39.10        S
30407      MN4                 0.20         78.70        S
30407      MO3                 0.70         115.40       S
30407      MS4                 2.20         120.20       S
30407      MSF                 3.60         158.40       S
30407      MSN6                0.20         273.60       S
30407      MU2                 3.50         79.50        S
30407      N2                  24.20        112.00       S
30407      NU2                 4.70         112.00       S
30407      O1                  7.20         173.60       S
30407      OO1                 0.00         176.30       S
30407      P1                  2.30         214.20       S
30407      PI1                 0.10         214.20       S
30407      PSI1                0.10         214.20       S
30407      Q1                  1.00         174.20       S
30407      S2                  39.40        149.50       S
30407      SIGMA1              0.20         174.80       S
30407      SN4                 1.00         41.20        S
30407      T2                  2.30         149.50       S
30443      2N2                 2.54         130.86       S
30443      K1                  2.72         158.02       S
30443      K2                  7.58         167.74       S
30443      L2                  6.00         106.22       S
30443      LAMBD2              0.60         154.92       S
30443      M2                  86.25        145.28       S
30443      M4                  1.87         121.08       S
30443      MM                  9.33         86.81        S
